课程名称	均分	最高分	课程代码
中国艺术史	/2015-2016-2	91.55	97.00
治理之善：公共行政热点解析	/2014-2015-1	91.55	95.00
生命科学导论实验（A类）	/2014-2015-1	91.53	99.00
公众表达	/2015-2016-1	91.50	94.00
歌曲欣赏与演唱	/2014-2015-1	91.50	94.00
积极心理学	/2015-2016-1	91.49	96.00
中国文学史（1）	/2014-2015-1	91.45	97.00
生物工程单元操作实验（2）	/2015-2016-1	91.43	95.00
生态安全与生态文明	/2015-2016-2	91.42	97.00
篆刻艺术	/2014-2015-1	91.37	97.00
高分子化学	/2014-2015-1	91.36	97.00
篆刻艺术	/2015-2016-2	91.36	98.00
体育（5）	/2014-2015-1	91.28	98.00
战后日本社会	/2015-2016-1	91.27	95.00
软件工程实践	/2015-2016-1	91.22	99.00
基础法语(上)	/2015-2016-1	91.19	95.00
生物技术概论	/2014-2015-2	91.19	99.00
卓越领导力：成功人生之道	/2014-2015-2	91.19	100.00
中华文选双语教程	/2014-2015-1	91.18	95.50
日语二外（1）	/2014-2015-2	91.16	98.00
“UTJS”体验式教育——沟通与演讲	/2015-2016-1	91.16	95.00
急救与自救	/2015-2016-2	91.16	100.00
园林植物综合实验	/2014-2015-1	91.14	94.00
领导力学习与实践	/2014-2015-1	91.08	97.00
职业生涯发展与规划	/2015-2016-2	91.06	100.00
数字图像处理基础	/2014-2015-1	91.00	94.00
胡适与中西文化	/2015-2016-1	91.00	91.00
工程实践与科技创新Ⅱ-B	/2015-2016-2	90.97	96.00
古代文论专题	/2015-2016-1	90.94	97.00
环境工程导论（A类）	/2014-2015-1	90.91	96.50
高分子物理	/2014-2015-1	90.91	99.00
体育（5）	/2014-2015-2	90.89	98.00
体育（5）	/2015-2016-1	90.86	100.00
合唱音乐	/2014-2015-1	90.84	99.00
中国传统文化中的哲学思想	/2014-2015-1	90.84	99.00
中外通俗歌曲鉴赏	/2015-2016-1	90.81	97.00
经济与社会伦理	/2015-2016-2	90.80	100.00
植物生理学实验	/2014-2015-1	90.79	93.00
能源与可持续发展	/2014-2015-2	90.78	98.00
法语二外（1）	/2015-2016-1	90.77	97.00
职业生涯发展与规划	/2014-2015-1	90.77	100.00
生命科学发展史	/2015-2016-1	90.74	95.00
交响音乐鉴赏	/2015-2016-2	90.73	99.00
工程实践与科技创新Ⅲ-B	/2015-2016-1	90.72	100.00
职业生涯发展与规划	/2014-2015-2	90.70	100.00
文字中国	/2014-2015-2	90.67	97.00
择业与就业	/2014-2015-1	90.67	96.00
能源与可持续发展	/2015-2016-2	90.65	95.00
历代名诗人研究	/2015-2016-1	90.62	95.00
情感心理学	/2015-2016-2	90.56	96.00
创新思维与现代设计	/2014-2015-2	90.55	98.00
分子生物学（E类）	/2014-2015-1	90.55	98.00
公众表达	/2014-2015-2	90.50	95.00
急救与自救	/2014-2015-1	90.50	94.00
美国的文化与历史	/2014-2015-1	90.48	96.00
植物生理学实验	/2015-2016-1	90.46	95.00
中药学通论	/2014-2015-2	90.46	97.00
物理化学(A)(3)	/2014-2015-1	90.44	98.00
摄影基础（B类）	/2014-2015-1	90.40	95.00
消费者行为	/2014-2015-1	90.38	96.00
商业统计分析和数据挖掘	/2014-2015-2	90.35	98.50
定价策略	/2014-2015-2	90.31	94.00
风险与社会保障	/2015-2016-2	90.31	96.00
自动控制原理	/2014-2015-1	90.29	95.00
古典诗文名篇选读	/2014-2015-2	90.28	96.00
植物生理学实验	/2015-2016-2	90.28	95.00
大学生健康导论	/2014-2015-2	90.24	97.00
软件工程（C类）	/2014-2015-1	90.20	99.00
新闻解读	/2015-2016-1	90.20	96.00
平面构成	/2014-2015-1	90.19	94.00
中西乐理及其应用	/2014-2015-2	90.18	99.00
生药学实验	/2015-2016-1	90.18	94.00
法学入门讲座	/2015-2016-1	90.15	94.00
形势与政策	/2014-2015-2	90.13	100.00
软件工程（C类）	/2015-2016-1	90.11	100.00
WTO法律文件选读	/2015-2016-1	90.11	93.00
书法艺术	/2014-2015-1	90.09	98.00
世界民族音乐鉴赏	/2015-2016-2	90.08	97.00
工程实践与科技创新I	/2014-2015-1	90.07	100.00
欧洲文化导论	/2014-2015-2	90.06	95.00
刑法分论	/2014-2015-1	90.06	98.00
书法艺术	/2015-2016-1	90.05	95.00
形势与政策	/2015-2016-1	90.04	99.00
领导科学与艺术	/2015-2016-1	90.03	98.00
中药学通论	/2015-2016-1	90.03	97.00
素描	/2015-2016-2	90.03	94.00
基础法语(上)	/2014-2015-1	90.00	97.00
色彩（Ⅰ）	/2015-2016-2	90.00	98.00
芳香疗法与身心健康	/2014-2015-2	89.97	97.00
英语经典歌曲欣赏	/2014-2015-2	89.94	92.00
动物繁殖学	/2015-2016-1	89.93	97.00
材料工程导论Ⅱ	/2014-2015-1	89.91	96.00
音乐剧与歌舞电影	/2014-2015-1	89.89	93.00
动物行为学	/2015-2016-1	89.88	97.00
中外通俗歌曲鉴赏	/2014-2015-2	89.87	98.00
影视文化与艺术	/2015-2016-1	89.86	96.00
治理之善：公共行政热点解析	/2015-2016-1	89.84	97.00
创新思维与现代设计	/2014-2015-1	89.79	98.00
政治的边界与逻辑	/2015-2016-1	89.78	99.00
“UTJS”体验式教育——沟通与演讲	/2015-2016-2	89.78	94.00
积极心理学	/2015-2016-2	89.75	94.00
中药学通论	/2015-2016-2	89.74	97.00
素描	/2014-2015-1	89.68	94.00
有机合成	/2014-2015-1	89.67	95.00
音乐剧与歌舞电影	/2014-2015-2	89.63	91.00
积极心理学	/2014-2015-2	89.63	97.00
跨国公司财务管理	/2014-2015-2	89.59	94.00
读书报告（一）（前期导师制活动）	/2015-2016-1	89.58	94.00
社会精神医学	/2015-2016-2	89.57	98.60
英语经典歌曲欣赏	/2014-2015-1	89.53	91.00
环境经济学	/2015-2016-1	89.53	98.00
工程实践与科技创新Ⅱ-B	/2014-2015-2	89.52	98.00
操作系统课程设计	/2015-2016-2	89.50	100.00
电子商务（B类）	/2015-2016-2	89.50	90.00
工程实践与科技创新I	/2015-2016-1	89.49	100.00
公众表达	/2015-2016-2	89.47	95.00
影视文化与艺术	/2015-2016-2	89.46	97.00
素描	/2015-2016-1	89.44	94.00
音乐剧与歌舞电影	/2015-2016-2	89.43	91.00
宇宙与人类	/2014-2015-2	89.42	96.00
信息素养与实践	/2015-2016-1	89.42	97.00
人与环境	/2015-2016-2	89.41	96.00
世界民族音乐鉴赏	/2014-2015-2	89.40	95.00
战后日本社会	/2015-2016-2	89.40	97.00
英语经典歌曲欣赏	/2015-2016-2	89.39	91.00
组织文化研究	/2014-2015-2	89.37	95.00
工程实践与科技创新Ⅳ-D	/2014-2015-1	89.36	98.00
日语精读（1）*	/2014-2015-1	89.36	96.00
政治的边界与逻辑	/2015-2016-2	89.33	97.00
香港电影专题研究	/2014-2015-2	89.32	91.00
英语经典歌曲欣赏	/2015-2016-1	89.32	91.00
无机合成	/2015-2016-2	89.30	95.00
化工原理实验(上)	/2014-2015-1	89.30	95.00
植物生物技术概论	/2015-2016-2	89.30	96.00
美国的文化与历史	/2015-2016-2	89.27	95.00
中国现代诗歌导读	/2015-2016-2	89.26	97.00
世界民族音乐鉴赏	/2014-2015-1	89.25	95.00
素描	/2014-2015-2	89.22	95.00
形势与政策	/2014-2015-1	89.22	100.00
交响音乐鉴赏	/2014-2015-2	89.21	100.00
社会精神医学	/2015-2016-1	89.21	97.00
插花艺术	/2015-2016-1	89.17	97.00
积极心理学	/2014-2015-1	89.17	93.00
插花艺术	/2014-2015-2	89.14	97.00
生物技术与人类	/2015-2016-2	89.13	98.00
数字系统设计	/2014-2015-1	89.11	99.00
社会精神医学	/2014-2015-2	89.10	97.00
信息安全的数学基础（2）	/2015-2016-1	89.09	99.00
世界民族音乐鉴赏	/2015-2016-1	89.09	95.00
工程实践与科技创新Ⅲ-C	/2014-2015-2	89.08	97.00
音乐剧与歌舞电影	/2015-2016-1	89.08	92.00
新产品管理	/2015-2016-1	89.07	93.00
科学与艺术-材料科学与设计艺术	/2014-2015-2	89.06	95.00
数码图文编辑与版式设计	/2015-2016-1	89.05	95.00
风险与社会保障	/2014-2015-2	89.04	95.00
篆刻艺术	/2014-2015-2	89.03	98.00
软件工程实践	/2014-2015-1	89.02	97.00
管理技能与创新实践（一）	/2014-2015-1	89.02	96.00
功能基因组学	/2014-2015-1	89.00	93.00
动物生物技术概论	/2014-2015-1	89.00	98.00
膳食指南与营养评估	/2015-2016-1	89.00	89.00
食品感官评定	/2014-2015-1	89.00	96.00
药物化学实验	/2015-2016-1	89.00	94.00
婚姻家庭法	/2014-2015-1	89.00	97.00
《圣经》与西方文化	/2015-2016-1	89.00	98.00
信息论与编码	/2014-2015-1	88.95	99.00
动物生物技术概论	/2015-2016-1	88.93	95.00
人际交往艺术	/2015-2016-1	88.93	96.00
艺术、媒介与创造性思维	/2015-2016-1	88.92	95.00
全球变化下的自然和生态	/2015-2016-2	88.91	96.00
芳香疗法与身心健康	/2014-2015-1	88.90	98.00
农业生态学	/2015-2016-1	88.88	97.00
日常生活中的心理学	/2014-2015-2	88.88	92.00
编译原理（A类）	/2014-2015-1	88.87	100.00
素描（1）	/2015-2016-1	88.85	98.00
